Tree ID,Final Tree Height (m),Final Crown Width (m),Final Carbon Stock
288,5.23,2.26,1.202
289,2.94,2.21,-0.027
290,2.06,2.13,-0.81
291,4.93,3.4,1.549
292,2.57,2.58,-0.135
293,3.47,3.67,0.9
294,3.34,2.76,0.491
295,2.68,2.71,0.013
296,2.1,2.45,-0.615
297,2.97,2.39,0.086
